segment_id,latitude,longitude,geohash,start_chainage_km,end_chainage_km,length_km,chip_file,product_id,acquisition_date,orbit_number,utm_zone,chip_size,buffer_m,bands,valid_pixel_pct,status
P1328_SEG_0001,6.369446,2.624158,s11u5xwbeqf1,0.0,1.0,1.0,imagery/chips_v2/P1328_SEG_0001_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
P1328_SEG_0002,6.378437,2.624334,s11u79nvp6v6,1.0,2.0,1.0,imagery/chips_v2/P1328_SEG_0002_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
P1328_SEG_0003,6.387429,2.62451,s11u7dz17x06,2.0,3.0,1.0,imagery/chips_v2/P1328_SEG_0003_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
P1328_SEG_0004,6.396421,2.624686,s11u7srjze79,3.0,4.0,1.0,imagery/chips_v2/P1328_SEG_0004_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
P1328_SEG_0005,6.405412,2.624861,s11u7wp65xq4,4.0,5.0,1.0,imagery/chips_v2/P1328_SEG_0005_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
P1328_SEG_0006,6.414404,2.625037,s11u7xxqxg96,5.0,6.0,1.0,imagery/chips_v2/P1328_SEG_0006_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
P1328_SEG_0007,6.423395,2.625213,s11ue9rdgzse,6.0,7.0,1.0,imagery/chips_v2/P1328_SEG_0007_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
P1328_SEG_0008,6.432387,2.625389,s11uedzxrgzg,7.0,8.0,1.0,imagery/chips_v2/P1328_SEG_0008_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
P1328_SEG_0009,6.441378,2.625565,s11uesxgspgh,8.0,9.0,1.0,imagery/chips_v2/P1328_SEG_0009_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
P1328_SEG_0010,6.45037,2.625741,s11uey200hn7,9.0,10.0,1.0,imagery/chips_v2/P1328_SEG_0010_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
P1328_SEG_0011,6.459361,2.625917,s11uezbhs21t,10.0,11.0,1.0,imagery/chips_v2/P1328_SEG_0011_20260804T053736_8841.tif,S1C_IW_GRDH_1SDV_20260804T053719_20260804T053753_008841_01189C_rtc,2026-08-04,8841,EPSG:32631,128,500,"VV,VH",100.0,created
